,buy_price,buy_size,time,sell_price,sell_size,mid_price,spread
0,4892.0,30.0,0,4899.0,30.0,4895.5,7.0
1,4892.0,31.0,100,4898.0,31.0,4895.0,6.0
2,4892.0,22.0,200,4899.0,22.0,4895.5,7.0
3,4893.0,25.0,300,4900.0,23.0,4896.5,7.0
4,4893.0,25.0,400,4899.0,25.0,4896.0,6.0
5,4893.0,24.0,500,4899.0,24.0,4896.0,6.0
6,4892.0,26.0,600,4899.0,26.0,4895.5,7.0
7,4891.0,27.0,700,4898.0,27.0,4894.5,7.0
8,4891.0,26.0,800,4898.0,26.0,4894.5,7.0
9,4891.0,27.0,900,4898.0,29.0,4894.5,7.0
10,4891.0,28.0,1000,4898.0,26.0,4894.5,7.0
11,4891.0,25.0,1100,4898.0,25.0,4894.5,7.0
12,4891.0,30.0,1200,4898.0,30.0,4894.5,7.0
13,4890.0,27.0,1300,4897.0,28.0,4893.5,7.0
14,4890.0,24.0,1400,4897.0,26.0,4893.5,7.0
15,4890.0,20.0,1500,4897.0,22.0,4893.5,7.0
16,4891.0,23.0,1600,4897.0,23.0,4894.0,6.0
17,4890.0,27.0,1700,4897.0,27.0,4893.5,7.0
18,4890.0,25.0,1800,4897.0,27.0,4893.5,7.0
19,4890.0,31.0,1900,4897.0,31.0,4893.5,7.0
20,4890.0,26.0,2000,4897.0,25.0,4893.5,7.0
21,4890.0,23.0,2100,4897.0,23.0,4893.5,7.0
22,4889.0,30.0,2200,4896.0,32.0,4892.5,7.0
23,4889.0,22.0,2300,4896.0,24.0,4892.5,7.0
24,4889.0,23.0,2400,4896.0,25.0,4892.5,7.0
25,4890.0,21.0,2500,4897.0,20.0,4893.5,7.0
26,4889.0,25.0,2600,4896.0,25.0,4892.5,7.0
27,4889.0,24.0,2700,4896.0,25.0,4892.5,7.0
28,4890.0,29.0,2800,4897.0,29.0,4893.5,7.0
29,4891.0,25.0,2900,4897.0,25.0,4894.0,6.0
30,4891.0,31.0,3000,4897.0,31.0,4894.0,6.0
31,4891.0,27.0,3100,4898.0,26.0,4894.5,7.0
32,4891.0,32.0,3200,4898.0,32.0,4894.5,7.0
33,4891.0,28.0,3300,4898.0,26.0,4894.5,7.0
34,4891.0,29.0,3400,4898.0,27.0,4894.5,7.0
35,4891.0,30.0,3500,4898.0,28.0,4894.5,7.0
36,4891.0,21.0,3600,4898.0,21.0,4894.5,7.0
37,4892.0,31.0,3700,4898.0,31.0,4895.0,6.0
38,4892.0,30.0,3800,4899.0,29.0,4895.5,7.0
39,4892.0,25.0,3900,4898.0,25.0,4895.0,6.0
40,4891.0,27.0,4000,4898.0,29.0,4894.5,7.0
41,4892.0,24.0,4100,4899.0,24.0,4895.5,7.0
42,4892.0,26.0,4200,4899.0,28.0,4895.5,7.0
43,4892.0,31.0,4300,4899.0,31.0,4895.5,7.0
44,4892.0,26.0,4400,4899.0,27.0,4895.5,7.0
45,4892.0,27.0,4500,4899.0,27.0,4895.5,7.0
46,4892.0,21.0,4600,4899.0,22.0,4895.5,7.0
47,4892.0,27.0,4700,4899.0,27.0,4895.5,7.0
48,4892.0,24.0,4800,4899.0,25.0,4895.5,7.0
49,4893.0,22.0,4900,4899.0,22.0,4896.0,6.0
50,4892.0,22.0,5000,4899.0,23.0,4895.5,7.0
51,4893.0,25.0,5100,4899.0,25.0,4896.0,6.0
52,4893.0,24.0,5200,4900.0,24.0,4896.5,7.0
53,4893.0,25.0,5300,4900.0,25.0,4896.5,7.0
54,4894.0,27.0,5400,4901.0,27.0,4897.5,7.0
55,4894.0,29.0,5500,4901.0,30.0,4897.5,7.0
56,4895.0,27.0,5600,4902.0,26.0,4898.5,7.0
57,4895.0,25.0,5700,4901.0,25.0,4898.0,6.0
58,4894.0,24.0,5800,4901.0,24.0,4897.5,7.0
59,4895.0,21.0,5900,4901.0,21.0,4898.0,6.0
60,4894.0,22.0,6000,4901.0,24.0,4897.5,7.0
61,4894.0,24.0,6100,4901.0,25.0,4897.5,7.0
62,4894.0,29.0,6200,4901.0,30.0,4897.5,7.0
63,4894.0,24.0,6300,4901.0,25.0,4897.5,7.0
64,4894.0,23.0,6400,4901.0,23.0,4897.5,7.0
65,4894.0,20.0,6500,4901.0,20.0,4897.5,7.0
66,4894.0,27.0,6600,4901.0,27.0,4897.5,7.0
67,4894.0,28.0,6700,4901.0,26.0,4897.5,7.0
68,4893.0,24.0,6800,4900.0,23.0,4896.5,7.0
69,4893.0,28.0,6900,4900.0,28.0,4896.5,7.0
70,4893.0,27.0,7000,4900.0,29.0,4896.5,7.0
71,4893.0,30.0,7100,4900.0,30.0,4896.5,7.0
72,4893.0,23.0,7200,4900.0,21.0,4896.5,7.0
73,4893.0,25.0,7300,4900.0,25.0,4896.5,7.0
74,4894.0,30.0,7400,4901.0,28.0,4897.5,7.0
75,4894.0,29.0,7500,4901.0,29.0,4897.5,7.0
76,4894.0,24.0,7600,4901.0,26.0,4897.5,7.0
77,4894.0,28.0,7700,4901.0,28.0,4897.5,7.0
78,4894.0,22.0,7800,4901.0,23.0,4897.5,7.0
79,4895.0,26.0,7900,4902.0,25.0,4898.5,7.0
80,4896.0,23.0,8000,4902.0,23.0,4899.0,6.0
81,4896.0,22.0,8100,4902.0,22.0,4899.0,6.0
82,4896.0,20.0,8200,4903.0,20.0,4899.5,7.0
83,4896.0,26.0,8300,4903.0,27.0,4899.5,7.0
84,4897.0,26.0,8400,4904.0,26.0,4900.5,7.0
85,4896.0,30.0,8500,4903.0,30.0,4899.5,7.0
86,4896.0,23.0,8600,4903.0,23.0,4899.5,7.0
87,4896.0,30.0,8700,4903.0,30.0,4899.5,7.0
88,4896.0,23.0,8800,4903.0,23.0,4899.5,7.0
89,4896.0,27.0,8900,4903.0,26.0,4899.5,7.0
90,4895.0,23.0,9000,4902.0,23.0,4898.5,7.0
91,4896.0,31.0,9100,4903.0,31.0,4899.5,7.0
92,4896.0,24.0,9200,4903.0,24.0,4899.5,7.0
93,4895.0,23.0,9300,4902.0,23.0,4898.5,7.0
94,4895.0,24.0,9400,4902.0,24.0,4898.5,7.0
95,4896.0,29.0,9500,4903.0,28.0,4899.5,7.0
96,4896.0,19.0,9600,4902.0,20.0,4899.0,6.0
97,4896.0,25.0,9700,4903.0,25.0,4899.5,7.0
98,4895.0,21.0,9800,4902.0,21.0,4898.5,7.0
99,4895.0,22.0,9900,4902.0,22.0,4898.5,7.0
100,4895.0,31.0,10000,4902.0,31.0,4898.5,7.0
101,4895.0,22.0,10100,4902.0,22.0,4898.5,7.0
102,4895.0,25.0,10200,4902.0,23.0,4898.5,7.0
103,4895.0,22.0,10300,4902.0,20.0,4898.5,7.0
104,4895.0,30.0,10400,4902.0,30.0,4898.5,7.0
105,4895.0,28.0,10500,4901.0,28.0,4898.0,6.0
106,4895.0,23.0,10600,4902.0,23.0,4898.5,7.0
107,4895.0,23.0,10700,4902.0,23.0,4898.5,7.0
108,4895.0,23.0,10800,4902.0,23.0,4898.5,7.0
109,4894.0,29.0,10900,4901.0,30.0,4897.5,7.0
110,4894.0,30.0,11000,4901.0,29.0,4897.5,7.0
111,4894.0,31.0,11100,4901.0,29.0,4897.5,7.0
112,4894.0,29.0,11200,4901.0,29.0,4897.5,7.0
113,4894.0,27.0,11300,4901.0,26.0,4897.5,7.0
114,4894.0,24.0,11400,4901.0,23.0,4897.5,7.0
115,4893.0,28.0,11500,4900.0,29.0,4896.5,7.0
116,4892.0,26.0,11600,4899.0,26.0,4895.5,7.0
117,4893.0,22.0,11700,4900.0,21.0,4896.5,7.0
118,4893.0,21.0,11800,4900.0,21.0,4896.5,7.0
119,4893.0,25.0,11900,4900.0,25.0,4896.5,7.0
120,4893.0,25.0,12000,4900.0,25.0,4896.5,7.0
121,4893.0,20.0,12100,4900.0,22.0,4896.5,7.0
122,4893.0,26.0,12200,4900.0,28.0,4896.5,7.0
123,4893.0,24.0,12300,4900.0,24.0,4896.5,7.0
124,4893.0,30.0,12400,4900.0,29.0,4896.5,7.0
125,4892.0,31.0,12500,4899.0,31.0,4895.5,7.0
126,4892.0,31.0,12600,4899.0,30.0,4895.5,7.0
127,4892.0,31.0,12700,4899.0,31.0,4895.5,7.0
128,4892.0,31.0,12800,4898.0,31.0,4895.0,6.0
129,4892.0,24.0,12900,4899.0,24.0,4895.5,7.0
130,4892.0,27.0,13000,4899.0,27.0,4895.5,7.0
131,4892.0,30.0,13100,4899.0,30.0,4895.5,7.0
132,4892.0,28.0,13200,4899.0,28.0,4895.5,7.0
133,4892.0,26.0,13300,4899.0,28.0,4895.5,7.0
134,4893.0,26.0,13400,4900.0,26.0,4896.5,7.0
135,4893.0,30.0,13500,4900.0,30.0,4896.5,7.0
136,4893.0,25.0,13600,4900.0,23.0,4896.5,7.0
137,4893.0,30.0,13700,4899.0,30.0,4896.0,6.0
138,4893.0,25.0,13800,4900.0,24.0,4896.5,7.0
139,4893.0,20.0,13900,4900.0,20.0,4896.5,7.0
140,4894.0,27.0,14000,4900.0,27.0,4897.0,6.0
141,4893.0,22.0,14100,4900.0,24.0,4896.5,7.0
142,4893.0,22.0,14200,4900.0,24.0,4896.5,7.0
143,4894.0,30.0,14300,4900.0,30.0,4897.0,6.0
144,4894.0,23.0,14400,4901.0,23.0,4897.5,7.0
145,4893.0,23.0,14500,4900.0,23.0,4896.5,7.0
146,4893.0,21.0,14600,4900.0,21.0,4896.5,7.0
147,4893.0,26.0,14700,4900.0,26.0,4896.5,7.0
148,4893.0,21.0,14800,4900.0,23.0,4896.5,7.0
149,4893.0,30.0,14900,4900.0,30.0,4896.5,7.0
150,4893.0,23.0,15000,4900.0,23.0,4896.5,7.0
