,buy_price,buy_size,time,sell_price,sell_size,mid_price,spread
0,3996.0,58.0,0,4005.0,58.0,4000.5,9.0
1,3995.0,59.0,100,4004.0,59.0,3999.5,9.0
2,3994.0,52.0,200,4003.0,52.0,3998.5,9.0
3,3994.0,42.0,300,4003.0,42.0,3998.5,9.0
4,3995.0,56.0,400,4004.0,56.0,3999.5,9.0
5,3995.0,48.0,500,4004.0,48.0,3999.5,9.0
6,3995.0,55.0,600,4004.0,55.0,3999.5,9.0
7,3996.0,57.0,700,4005.0,57.0,4000.5,9.0
8,3996.0,51.0,800,4005.0,51.0,4000.5,9.0
9,3997.0,49.0,900,4006.0,49.0,4001.5,9.0
10,3997.0,56.0,1000,4006.0,56.0,4001.5,9.0
11,3996.0,48.0,1100,4005.0,48.0,4000.5,9.0
12,3997.0,54.0,1200,4006.0,54.0,4001.5,9.0
13,3996.0,53.0,1300,4005.0,53.0,4000.5,9.0
14,3996.0,57.0,1400,4005.0,57.0,4000.5,9.0
15,3996.0,54.0,1500,4005.0,54.0,4000.5,9.0
16,3995.0,49.0,1600,4004.0,49.0,3999.5,9.0
17,3995.0,55.0,1700,4004.0,55.0,3999.5,9.0
18,3996.0,43.0,1800,4005.0,43.0,4000.5,9.0
19,3995.0,53.0,1900,4004.0,53.0,3999.5,9.0
20,3995.0,55.0,2000,4004.0,55.0,3999.5,9.0
21,3995.0,56.0,2100,4004.0,56.0,3999.5,9.0
22,3995.0,48.0,2200,4004.0,48.0,3999.5,9.0
23,3995.0,60.0,2300,4004.0,60.0,3999.5,9.0
24,3995.0,58.0,2400,4004.0,58.0,3999.5,9.0
25,3995.0,57.0,2500,4004.0,57.0,3999.5,9.0
26,3995.0,53.0,2600,4004.0,53.0,3999.5,9.0
27,3995.0,48.0,2700,4004.0,48.0,3999.5,9.0
28,3996.0,53.0,2800,4005.0,53.0,4000.5,9.0
29,3996.0,59.0,2900,4005.0,59.0,4000.5,9.0
30,3997.0,52.0,3000,4006.0,52.0,4001.5,9.0
31,3996.0,46.0,3100,4005.0,46.0,4000.5,9.0
32,3995.0,49.0,3200,4004.0,49.0,3999.5,9.0
33,3995.0,52.0,3300,4004.0,52.0,3999.5,9.0
34,3995.0,54.0,3400,4004.0,54.0,3999.5,9.0
35,3994.0,43.0,3500,4003.0,43.0,3998.5,9.0
36,3995.0,43.0,3600,4004.0,43.0,3999.5,9.0
37,3995.0,59.0,3700,4004.0,59.0,3999.5,9.0
38,3995.0,50.0,3800,4004.0,50.0,3999.5,9.0
39,3996.0,47.0,3900,4005.0,47.0,4000.5,9.0
40,3996.0,52.0,4000,4005.0,52.0,4000.5,9.0
41,3995.0,45.0,4100,4004.0,45.0,3999.5,9.0
42,3997.0,47.0,4200,4006.0,47.0,4001.5,9.0
43,3997.0,54.0,4300,4006.0,54.0,4001.5,9.0
44,3998.0,40.0,4400,4007.0,40.0,4002.5,9.0
45,3998.0,58.0,4500,4007.0,58.0,4002.5,9.0
46,3997.0,45.0,4600,4006.0,45.0,4001.5,9.0
47,3996.0,47.0,4700,4005.0,47.0,4000.5,9.0
48,3995.0,50.0,4800,4004.0,50.0,3999.5,9.0
49,3996.0,43.0,4900,4005.0,43.0,4000.5,9.0
50,3996.0,42.0,5000,4005.0,42.0,4000.5,9.0
51,3997.0,57.0,5100,4006.0,57.0,4001.5,9.0
52,3998.0,49.0,5200,4007.0,49.0,4002.5,9.0
53,3998.0,44.0,5300,4007.0,44.0,4002.5,9.0
54,3999.0,45.0,5400,4008.0,45.0,4003.5,9.0
55,3998.0,60.0,5500,4007.0,60.0,4002.5,9.0
56,3998.0,41.0,5600,4007.0,41.0,4002.5,9.0
57,3998.0,40.0,5700,4007.0,40.0,4002.5,9.0
58,3998.0,44.0,5800,4007.0,44.0,4002.5,9.0
59,3998.0,49.0,5900,4007.0,49.0,4002.5,9.0
60,3998.0,50.0,6000,4007.0,50.0,4002.5,9.0
61,3997.0,49.0,6100,4006.0,49.0,4001.5,9.0
62,3998.0,56.0,6200,4007.0,56.0,4002.5,9.0
63,3998.0,52.0,6300,4007.0,52.0,4002.5,9.0
64,3998.0,40.0,6400,4007.0,40.0,4002.5,9.0
65,3998.0,56.0,6500,4007.0,56.0,4002.5,9.0
66,3998.0,56.0,6600,4007.0,56.0,4002.5,9.0
