,buy_price,buy_size,time,sell_price,sell_size,mid_price,spread
0,7999.0,162.0,0,8002.0,107.0,8000.5,3.0
1,7998.0,187.0,100,8001.0,187.0,7999.5,3.0
2,7997.0,191.0,200,8000.0,191.0,7998.5,3.0
3,7998.0,187.0,300,8001.0,187.0,7999.5,3.0
4,7997.0,186.0,400,8000.0,186.0,7998.5,3.0
5,7996.0,189.0,500,7999.0,127.0,7997.5,3.0
6,7996.0,184.0,600,7999.0,184.0,7997.5,3.0
7,7997.0,165.0,700,8000.0,165.0,7998.5,3.0
8,7996.0,191.0,800,7999.0,191.0,7997.5,3.0
9,7996.0,187.0,900,7999.0,145.0,7997.5,3.0
10,7998.0,199.0,1000,8001.0,199.0,7999.5,3.0
11,7997.0,220.0,1100,8000.0,220.0,7998.5,3.0
12,7997.0,164.0,1200,8000.0,114.0,7998.5,3.0
13,7998.0,148.0,1300,8001.0,101.0,7999.5,3.0
14,7998.0,191.0,1400,8001.0,191.0,7999.5,3.0
15,8000.0,182.0,1500,8003.0,118.0,8001.5,3.0
16,8000.0,161.0,1600,8003.0,191.0,8001.5,3.0
17,8000.0,188.0,1700,8003.0,188.0,8001.5,3.0
18,8000.0,188.0,1800,8003.0,188.0,8001.5,3.0
19,8000.0,169.0,1900,8003.0,101.0,8001.5,3.0
20,8000.0,166.0,2000,8003.0,166.0,8001.5,3.0
21,8001.0,204.0,2100,8004.0,132.0,8002.5,3.0
22,8000.0,174.0,2200,8003.0,126.0,8001.5,3.0
23,8000.0,153.0,2300,8003.0,153.0,8001.5,3.0
24,7999.0,185.0,2400,8002.0,185.0,8000.5,3.0
25,7999.0,116.0,2500,8002.0,158.0,8000.5,3.0
26,7999.0,155.0,2600,8002.0,155.0,8000.5,3.0
27,7999.0,210.0,2700,8002.0,210.0,8000.5,3.0
28,7997.0,181.0,2800,8000.0,181.0,7998.5,3.0
29,7998.0,169.0,2900,8001.0,127.0,7999.5,3.0
30,7996.0,134.0,3000,7999.0,197.0,7997.5,3.0
31,7997.0,105.0,3100,8000.0,182.0,7998.5,3.0
32,7996.0,116.0,3200,7999.0,178.0,7997.5,3.0
33,7996.0,180.0,3300,7999.0,180.0,7997.5,3.0
34,7995.0,143.0,3400,7998.0,203.0,7996.5,3.0
35,7996.0,201.0,3500,7999.0,126.0,7997.5,3.0
36,7996.0,129.0,3600,7999.0,185.0,7997.5,3.0
37,7997.0,197.0,3700,8000.0,125.0,7998.5,3.0
38,7997.0,201.0,3800,8000.0,139.0,7998.5,3.0
39,7997.0,190.0,3900,8000.0,190.0,7998.5,3.0
40,7997.0,162.0,4000,8000.0,100.0,7998.5,3.0
41,7997.0,189.0,4100,8000.0,140.0,7998.5,3.0
42,7996.0,191.0,4200,7999.0,191.0,7997.5,3.0
43,7996.0,195.0,4300,7999.0,195.0,7997.5,3.0
44,7997.0,200.0,4400,8000.0,200.0,7998.5,3.0
45,7998.0,201.0,4500,8001.0,201.0,7999.5,3.0
46,7997.0,169.0,4600,8000.0,113.0,7998.5,3.0
47,7997.0,166.0,4700,8000.0,106.0,7998.5,3.0
48,7997.0,184.0,4800,8000.0,111.0,7998.5,3.0
49,7996.0,145.0,4900,7999.0,145.0,7997.5,3.0
50,7996.0,200.0,5000,7999.0,200.0,7997.5,3.0
51,7996.0,208.0,5100,7999.0,138.0,7997.5,3.0
52,7997.0,171.0,5200,8000.0,118.0,7998.5,3.0
53,7997.0,144.0,5300,8000.0,202.0,7998.5,3.0
54,7997.0,149.0,5400,8000.0,228.0,7998.5,3.0
55,7998.0,204.0,5500,8001.0,204.0,7999.5,3.0
56,7998.0,187.0,5600,8001.0,187.0,7999.5,3.0
57,7998.0,146.0,5700,8001.0,208.0,7999.5,3.0
58,7998.0,222.0,5800,8001.0,222.0,7999.5,3.0
59,7997.0,179.0,5900,8000.0,179.0,7998.5,3.0
60,7996.0,138.0,6000,7999.0,200.0,7997.5,3.0
61,7997.0,207.0,6100,8000.0,207.0,7998.5,3.0
62,7998.0,183.0,6200,8001.0,183.0,7999.5,3.0
63,7998.0,201.0,6300,8001.0,201.0,7999.5,3.0
64,8000.0,199.0,6400,8003.0,199.0,8001.5,3.0
65,8001.0,203.0,6500,8004.0,136.0,8002.5,3.0
66,8001.0,175.0,6600,8004.0,109.0,8002.5,3.0
67,8000.0,189.0,6700,8003.0,189.0,8001.5,3.0
68,8002.0,188.0,6800,8005.0,188.0,8003.5,3.0
69,8002.0,207.0,6900,8005.0,207.0,8003.5,3.0
70,8001.0,210.0,7000,8004.0,210.0,8002.5,3.0
71,8001.0,123.0,7100,8004.0,182.0,8002.5,3.0
72,8001.0,212.0,7200,8004.0,212.0,8002.5,3.0
73,8001.0,147.0,7300,8004.0,203.0,8002.5,3.0
74,8000.0,183.0,7400,8003.0,183.0,8001.5,3.0
75,8001.0,178.0,7500,8004.0,178.0,8002.5,3.0
76,8002.0,177.0,7600,8005.0,177.0,8003.5,3.0
