,buy_price,buy_size,time,sell_price,sell_size,mid_price,spread
0,99998.0,19.0,0,100002.0,19.0,100000.0,4.0
1,99998.0,12.0,100,100002.0,12.0,100000.0,4.0
2,100000.0,14.0,200,100004.0,14.0,100002.0,4.0
3,99998.0,11.0,300,100002.0,11.0,100000.0,4.0
4,99993.0,19.0,400,99996.0,19.0,99994.5,3.0
5,99990.0,22.0,500,99993.0,22.0,99991.5,3.0
6,99984.0,22.0,600,99987.0,22.0,99985.5,3.0
7,99984.0,16.0,700,99988.0,16.0,99986.0,4.0
8,99992.0,10.0,800,99996.0,10.0,99994.0,4.0
9,99989.0,20.0,900,99993.0,20.0,99991.0,4.0
10,99985.0,16.0,1000,99989.0,16.0,99987.0,4.0
11,99989.0,23.0,1100,99992.0,16.0,99990.5,3.0
12,99991.0,18.0,1200,99994.0,18.0,99992.5,3.0
13,99991.0,14.0,1300,99995.0,14.0,99993.0,4.0
14,99986.0,22.0,1400,99989.0,22.0,99987.5,3.0
15,99985.0,18.0,1500,99989.0,18.0,99987.0,4.0
16,99990.0,17.0,1600,99993.0,17.0,99991.5,3.0
17,99981.0,20.0,1700,99985.0,20.0,99983.0,4.0
18,99978.0,12.0,1800,99982.0,12.0,99980.0,4.0
19,99966.0,17.0,1900,99970.0,17.0,99968.0,4.0
20,99958.0,14.0,2000,99962.0,14.0,99960.0,4.0
21,99947.0,21.0,2100,99950.0,21.0,99948.5,3.0
22,99945.0,15.0,2200,99949.0,15.0,99947.0,4.0
23,99937.0,18.0,2300,99941.0,18.0,99939.0,4.0
24,99939.0,20.0,2400,99942.0,20.0,99940.5,3.0
25,99940.0,22.0,2500,99943.0,22.0,99941.5,3.0
26,99939.0,24.0,2600,99942.0,24.0,99940.5,3.0
27,99923.0,27.0,2700,99926.0,27.0,99924.5,3.0
28,99919.0,20.0,2800,99923.0,20.0,99921.0,4.0
29,99919.0,18.0,2900,99923.0,18.0,99921.0,4.0
30,99920.0,20.0,3000,99923.0,20.0,99921.5,3.0
31,99910.0,19.0,3100,99914.0,19.0,99912.0,4.0
32,99907.0,12.0,3200,99911.0,12.0,99909.0,4.0
33,99901.0,15.0,3300,99904.0,15.0,99902.5,3.0
34,99896.0,17.0,3400,99899.0,17.0,99897.5,3.0
35,99903.0,17.0,3500,99906.0,17.0,99904.5,3.0
36,99897.0,16.0,3600,99901.0,16.0,99899.0,4.0
37,99897.0,10.0,3700,99901.0,10.0,99899.0,4.0
38,99903.0,18.0,3800,99906.0,18.0,99904.5,3.0
39,99899.0,10.0,3900,99903.0,10.0,99901.0,4.0
40,99898.0,13.0,4000,99902.0,13.0,99900.0,4.0
41,99899.0,19.0,4100,99903.0,19.0,99901.0,4.0
42,99899.0,12.0,4200,99903.0,12.0,99901.0,4.0
43,99892.0,20.0,4300,99895.0,20.0,99893.5,3.0
44,99892.0,18.0,4400,99896.0,18.0,99894.0,4.0
45,99901.0,19.0,4500,99904.0,19.0,99902.5,3.0
46,99891.0,12.0,4600,99895.0,12.0,99893.0,4.0
47,99896.0,18.0,4700,99900.0,18.0,99898.0,4.0
48,99897.0,15.0,4800,99901.0,15.0,99899.0,4.0
49,99894.0,10.0,4900,99896.0,10.0,99895.0,2.0
50,99906.0,19.0,5000,99909.0,19.0,99907.5,3.0
51,99910.0,15.0,5100,99914.0,15.0,99912.0,4.0
52,99903.0,24.0,5200,99906.0,24.0,99904.5,3.0
