,buy_price,buy_size,time,sell_price,sell_size,mid_price,spread
0,14998.0,53.0,0,15002.0,53.0,15000.0,4.0
1,14998.0,64.0,100,15002.0,64.0,15000.0,4.0
2,14998.0,106.0,200,15001.0,106.0,14999.5,3.0
3,14998.0,67.0,300,15002.0,67.0,15000.0,4.0
4,14997.0,69.0,400,15001.0,69.0,14999.0,4.0
5,14996.0,52.0,500,15000.0,79.0,14998.0,4.0
6,14998.0,93.0,600,15001.0,93.0,14999.5,3.0
7,15001.0,103.0,700,15004.0,103.0,15002.5,3.0
8,15001.0,106.0,800,15004.0,106.0,15002.5,3.0
9,15000.0,93.0,900,15003.0,93.0,15001.5,3.0
10,15005.0,86.0,1000,15008.0,86.0,15006.5,3.0
11,15004.0,74.0,1100,15008.0,74.0,15006.0,4.0
12,15005.0,56.0,1200,15009.0,89.0,15007.0,4.0
13,15008.0,90.0,1300,15011.0,90.0,15009.5,3.0
14,15006.0,80.0,1400,15010.0,51.0,15008.0,4.0
15,15009.0,109.0,1500,15013.0,74.0,15011.0,4.0
16,15011.0,60.0,1600,15015.0,60.0,15013.0,4.0
17,15011.0,83.0,1700,15014.0,83.0,15012.5,3.0
18,15012.0,110.0,1800,15015.0,110.0,15013.5,3.0
19,15010.0,72.0,1900,15013.0,72.0,15011.5,3.0
20,15013.0,82.0,2000,15016.0,82.0,15014.5,3.0
21,15014.0,82.0,2100,15017.0,82.0,15015.5,3.0
22,15010.0,86.0,2200,15014.0,66.0,15012.0,4.0
23,15010.0,93.0,2300,15014.0,69.0,15012.0,4.0
24,15009.0,87.0,2400,15012.0,87.0,15010.5,3.0
25,15010.0,93.0,2500,15013.0,93.0,15011.5,3.0
26,15008.0,74.0,2600,15012.0,74.0,15010.0,4.0
27,15012.0,75.0,2700,15015.0,75.0,15013.5,3.0
28,15007.0,92.0,2800,15010.0,92.0,15008.5,3.0
29,15007.0,89.0,2900,15010.0,89.0,15008.5,3.0
30,15003.0,69.0,3000,15007.0,91.0,15005.0,4.0
31,15005.0,95.0,3100,15009.0,75.0,15007.0,4.0
32,15005.0,66.0,3200,15009.0,66.0,15007.0,4.0
33,15004.0,98.0,3300,15007.0,98.0,15005.5,3.0
34,15002.0,84.0,3400,15006.0,63.0,15004.0,4.0
35,15003.0,57.0,3500,15007.0,57.0,15005.0,4.0
36,15003.0,97.0,3600,15006.0,97.0,15004.5,3.0
37,15004.0,71.0,3700,15007.0,71.0,15005.5,3.0
38,15005.0,71.0,3800,15008.0,71.0,15006.5,3.0
39,15006.0,51.0,3900,15010.0,80.0,15008.0,4.0
40,15008.0,94.0,4000,15011.0,94.0,15009.5,3.0
41,15009.0,81.0,4100,15012.0,81.0,15010.5,3.0
42,15008.0,102.0,4200,15011.0,102.0,15009.5,3.0
43,15007.0,102.0,4300,15010.0,102.0,15008.5,3.0
44,15009.0,112.0,4400,15013.0,74.0,15011.0,4.0
45,15009.0,85.0,4500,15013.0,55.0,15011.0,4.0
46,15007.0,74.0,4600,15010.0,58.0,15008.5,3.0
47,15005.0,73.0,4700,15009.0,73.0,15007.0,4.0
48,15006.0,79.0,4800,15009.0,79.0,15007.5,3.0
49,15005.0,75.0,4900,15009.0,50.0,15007.0,4.0
50,15003.0,81.0,5000,15007.0,60.0,15005.0,4.0
51,15003.0,79.0,5100,15006.0,79.0,15004.5,3.0
52,15004.0,87.0,5200,15007.0,87.0,15005.5,3.0
53,15002.0,75.0,5300,15006.0,75.0,15004.0,4.0
54,15001.0,74.0,5400,15005.0,74.0,15003.0,4.0
55,14999.0,112.0,5500,15002.0,112.0,15000.5,3.0
56,14999.0,85.0,5600,15003.0,64.0,15001.0,4.0
57,14998.0,90.0,5700,15001.0,90.0,14999.5,3.0
58,14996.0,104.0,5800,14999.0,104.0,14997.5,3.0
